Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Road_Type,Speed_limit,Junction_Detail,Junction_Control,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Year
3,1,1,14/06/2012,5,17:35,Dual carriageway,30,0.0,Giveway or uncontrolled,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Wet/Damp,1,2012
3,2,1,07/07/2012,7,22:25,Single carriageway,30,0.0,Giveway or uncontrolled,None within 50 metres,Zebra crossing,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,1,2012
3,2,1,04/07/2012,4,14:08,Single carriageway,30,0.0,Giveway or uncontrolled,None within 50 metres,Zebra crossing,Daylight: Street light present,Fine without high winds,Dry,1,2012
3,2,1,10/06/2012,1,19:10,Single carriageway,30,0.0,Giveway or uncontrolled,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,1,2012
3,2,1,13/06/2012,4,09:56,Single carriageway,30,0.0,Giveway or uncontrolled,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,1,2012
3,2,1,20/06/2012,4,23:10,Single carriageway,30,0.0,Giveway or uncontrolled,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Dry,1,2012
3,2,1,07/07/2012,7,20:15,Single carriageway,30,0.0,Giveway or uncontrolled,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine with high winds,Wet/Damp,1,2012
3,2,1,11/07/2012,4,08:30,Single carriageway,30,0.0,Automatic traffic signal,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Dry,1,2012
3,2,1,14/06/2012,5,14:20,Single carriageway,30,0.0,Giveway or uncontrolled,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,1,2012
3,2,1,02/07/2012,2,11:00,Single carriageway,30,0.0,Automatic traffic signal,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Dry,1,2012
3,2,1,02/07/2012,2,20:05,Single carriageway,30,0.0,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,1,2012
3,2,1,27/06/2012,4,08:35,Single carriageway,30,0.0,Giveway or uncontrolled,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,1,2012
3,1,1,15/07/2012,1,10:20,Single carriageway,30,0.0,Automatic traffic signal,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Dry,1,2012
3,2,1,15/07/2012,1,10:18,Single carriageway,30,0.0,0,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Dry,1,2012
3,1,1,22/06/2012,6,07:35,Single carriageway,30,0.0,Automatic traffic signal,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,1,2012
3,2,1,03/07/2012,3,13:10,Dual carriageway,30,0.0,Automatic traffic signal,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Wet/Damp,1,2012
3,2,1,30/06/2012,7,19:40,Single carriageway,30,0.0,Automatic traffic signal,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,1,2012
3,2,1,28/06/2012,5,13:25,Dual carriageway,30,0.0,Automatic traffic signal,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,1,2012
3,1,1,08/07/2012,1,18:00,Single carriageway,30,0.0,Giveway or uncontrolled,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,1,2012
3,2,1,17/07/2012,3,06:51,One way street,30,0.0,Automatic traffic signal,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Dry,1,2012
3,1,1,21/07/2012,7,16:25,Single carriageway,30,0.0,Giveway or uncontrolled,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,1,2012
